condition_idx,condition_name,time_idx,time_min,protein_idx,protein_name,teacher_pred,student_pred,abs_error,rel_error,squared_error,needs_update,priority_score,time_phase
0,None|None,0,0.0,0,4EBP1_pS65,0.753162,0.768105,0.014943,0.01984,0.00022329,0,0.01984,early
0,None|None,0,0.0,1,ACC_pS79,0.173799,0.1968,0.023001,0.132346,0.00052907,0,0.132346,early
0,None|None,0,0.0,2,AKT_pS473,0.076916,0.982064,0.905148,11.768009,0.81929374,1,11.768009,early
0,None|None,0,0.0,3,AKT_pT308,0.283526,1.124132,0.840605,2.964823,0.7066175,1,2.964823,early
0,None|None,0,0.0,4,AMPK_pT172,1.65028,1.603093,0.047188,0.028594,0.00222667,0,0.028594,early
0,None|None,0,0.0,5,BAD_pS112,0.603402,0.653896,0.050495,0.083684,0.00254974,1,0.083684,early
0,None|None,0,0.0,6,c-JUN_pS73,0.369503,0.379318,0.009815,0.026564,9.634e-05,0,0.026564,early
0,None|None,0,0.0,7,c-Met_pY1235,0.461509,0.433753,0.027756,0.060142,0.0007704,0,0.060142,early
0,None|None,0,0.0,8,c-Raf_pS338,0.416284,0.510974,0.09469,0.227466,0.00896628,1,0.227466,early
0,None|None,0,0.0,9,CHK1_pS345,0.249392,0.232884,0.016508,0.066192,0.0002725,0,0.066192,early
0,None|None,0,0.0,10,CHK2_pT68,0.204646,0.193729,0.010918,0.053349,0.00011919,0,0.053349,early
0,None|None,0,0.0,11,EGFR_pY1068,0.082062,0.096142,0.01408,0.171577,0.00019825,0,0.171577,early
0,None|None,0,0.0,12,EGFR_pY1173,0.424849,0.402185,0.022664,0.053346,0.00051366,0,0.053346,early
0,None|None,0,0.0,13,EGFR_pY992,0.115084,0.11581,0.000726,0.006312,5.3e-07,0,0.006312,early
0,None|None,0,0.0,14,ER-alpha_pS118,0.847451,0.755388,0.092063,0.108635,0.00847555,1,0.108635,early
0,None|None,0,0.0,15,FOXO3a_pS318_S321,0.47166,0.458757,0.012903,0.027357,0.0001665,0,0.027357,early
0,None|None,0,0.0,16,GSK3-alpha-beta_pS21_S9,1.211202,1.471364,0.260163,0.214797,0.06768464,1,0.214797,early
0,None|None,0,0.0,17,GSK3-alpha-beta_pS9,1.361447,1.646763,0.285316,0.209568,0.08140535,1,0.209568,early
0,None|None,0,0.0,18,HER2_pY1248,1.397686,1.444804,0.047118,0.033711,0.0022201,0,0.033711,early
0,None|None,0,0.0,19,JNK_pT183_pT185,0.193376,0.221465,0.028089,0.145256,0.000789,0,0.145256,early
0,None|None,0,0.0,20,MAPK_pT202_Y204,0.247707,0.302524,0.054816,0.221295,0.00300485,1,0.221295,early
0,None|None,0,0.0,21,MEK1_pS217_S221,0.209291,0.218896,0.009604,0.045891,9.225e-05,0,0.045891,early
0,None|None,0,0.0,22,mTOR_pS2448,0.516146,0.574709,0.058563,0.113461,0.00342959,1,0.113461,early
0,None|None,0,0.0,23,NF-kB-p65_pS536,0.499602,0.481448,0.018154,0.036337,0.00032957,0,0.036337,early
