,4EBP1_pS65,ACC_pS79,AKT_pS473,AKT_pT308,AMPK_pT172,BAD_pS112,CHK1_pS345,CHK2_pT68,EGFR_pY1068,EGFR_pY1173,EGFR_pY992,ER-alpha_pS118,FOXO3a_pS318_S321,GSK3-alpha-beta_pS21_S9,GSK3-alpha-beta_pS9,HER2_pY1248,JNK_pT183_pT185,MAPK_pT202_Y204,MEK1_pS217_S221,NF-kB-p65_pS536,PDK1_pS241,PKC-alpha_pS657,PRAS40_pT246,Rb_pS807_S811,S6_pS235_S236,S6_pS240_S244,STAT3_pY705,Src_pY416,Src_pY527,TAZ_pS89,YAP_pS127,YB-1_PS102,c-JUN_pS73,c-Met_pY1235,c-Raf_pS338,mTOR_pS2448,p27_pT157,p27_pT198,p38_pT180_Y182,p70S6K_pT389,p90RSK_pT359_S363
4EBP1_pS65,0.0,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,1.0,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,1.0,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09
ACC_pS79,2.0611535e-09,0.0,2.0611535e-09,2.0611535e-09,1.0,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09
AKT_pS473,2.0611535e-09,2.0611535e-09,0.0,1.0,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,1.0,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09
AKT_pT308,2.0611535e-09,2.0611535e-09,1.0,0.0,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,1.0,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09
AMPK_pT172,2.0611535e-09,1.0,2.0611535e-09,2.0611535e-09,0.0,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,1.0,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09
BAD_pS112,1.0,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,0.0,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,1.0,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,1.0,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09
CHK1_pS345,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,0.0,2.0611535e-09,2.0611535e-09,2.0611535e-09,1.0,1.0,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,1.0,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,1.0,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09
CHK2_pT68,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,0.0,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,1.0,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09
EGFR_pY1068,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,0.0,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09
EGFR_pY1173,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,0.0,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,1.0,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09,2.0611535e-09
