,4EBP1_pS65,ACC_pS79,AKT_pS473,AKT_pT308,AMPK_pT172,BAD_pS112,CHK1_pS345,CHK2_pT68,EGFR_pY1068,EGFR_pY1173,EGFR_pY992,ER-alpha_pS118,FOXO3a_pS318_S321,GSK3-alpha-beta_pS21_S9,GSK3-alpha-beta_pS9,HER2_pY1248,JNK_pT183_pT185,MAPK_pT202_Y204,MEK1_pS217_S221,NF-kB-p65_pS536,PDK1_pS241,PKC-alpha_pS657,PRAS40_pT246,Rb_pS807_S811,S6_pS235_S236,S6_pS240_S244,STAT3_pY705,Src_pY416,Src_pY527,TAZ_pS89,YAP_pS127,YB-1_PS102,c-JUN_pS73,c-Met_pY1235,c-Raf_pS338,mTOR_pS2448,p27_pT157,p27_pT198,p38_pT180_Y182,p70S6K_pT389,p90RSK_pT359_S363
4EBP1_pS65,4.6417706e-05,0.6931482,0.6931482,0.6931482,0.6931482,0.73856133,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.75284904,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482
ACC_pS79,0.6931482,4.6417706e-05,0.6931482,0.6931482,0.50526214,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482
AKT_pS473,0.6931482,0.6931482,4.6417706e-05,0.79874104,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.7450225,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482
AKT_pT308,0.6931482,0.6931482,0.7981415,4.6417706e-05,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.74504495,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482
AMPK_pT172,0.6931482,0.69924057,0.6931482,0.6931482,4.6417706e-05,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.7659886,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482
BAD_pS112,0.73793304,0.6931482,0.6931482,0.6931482,0.6931482,4.6417706e-05,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.73711944,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.7583915,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482
CHK1_pS345,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,4.6417706e-05,0.6931482,0.6931482,0.6931482,0.7520629,0.7457556,0.6931482,0.6931482,0.6931482,0.6931482,0.7211738,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.7642932,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482
CHK2_pT68,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,4.6417706e-05,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.71007484,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482
EGFR_pY1068,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,4.6417706e-05,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482
EGFR_pY1173,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,4.6417706e-05,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.77061146,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482
