source,target,gate,beta,K,n,sign
c-JUN_pS73,AKT_pT308,1.0,0.11484463512897491,0.8048063516616821,0.7574188113212585,inhibition
AKT_pS473,AKT_pT308,1.0,0.1146731823682785,0.7987410426139832,0.7220738530158997,inhibition
c-JUN_pS73,AKT_pS473,1.0,0.11407210677862167,0.8036297559738159,0.7590135335922241,inhibition
AKT_pT308,AKT_pS473,1.0,0.11389446258544922,0.7981414794921875,0.7230691313743591,inhibition
YB-1_PS102,p70S6K_pT389,1.0,0.11146388947963715,0.8039435744285583,0.7453402876853943,inhibition
p90RSK_pT359_S363,p70S6K_pT389,1.0,0.11144767701625824,0.8019055128097534,0.7396268248558044,inhibition
GSK3-alpha-beta_pS9,S6_pS235_S236,1.0,0.10722917318344116,0.7973529696464539,0.7159834504127502,inhibition
S6_pS240_S244,S6_pS235_S236,1.0,0.10722851753234863,0.7961177825927734,0.7111943960189819,activation
Rb_pS807_S811,S6_pS235_S236,1.0,0.10722774267196655,0.7969277501106262,0.7144047617912292,inhibition
EGFR_pY1173,S6_pS240_S244,1.0,0.10513871163129807,0.7706114649772644,0.8922060132026672,inhibition
S6_pS235_S236,S6_pS240_S244,1.0,0.10319403558969498,0.7935733199119568,0.7208619713783264,inhibition
YB-1_PS102,Src_pY416,1.0,0.09881705790758133,0.7626888155937195,0.8249000906944275,inhibition
ER-alpha_pS118,Src_pY416,1.0,0.09813737124204636,0.783442497253418,0.7879472374916077,inhibition
c-Met_pY1235,Src_pY416,1.0,0.09803811460733414,0.7860589623451233,0.7686050534248352,inhibition
STAT3_pY705,Src_pY416,1.0,0.09799566864967346,0.7857995629310608,0.757233202457428,inhibition
GSK3-alpha-beta_pS21_S9,Rb_pS807_S811,1.0,0.09569718688726425,0.7843342423439026,0.7137712836265564,inhibition
S6_pS235_S236,Rb_pS807_S811,1.0,0.09565330296754837,0.7851706743240356,0.7147054076194763,inhibition
p90RSK_pT359_S363,GSK3-alpha-beta_pS9,1.0,0.09277280420064926,0.7813441753387451,0.7346845269203186,inhibition
S6_pS235_S236,GSK3-alpha-beta_pS9,1.0,0.0927460640668869,0.7801253199577332,0.7278313636779785,inhibition
HER2_pY1248,STAT3_pY705,1.0,0.09187602996826172,0.7756177186965942,0.7413913011550903,inhibition
NF-kB-p65_pS536,STAT3_pY705,1.0,0.09182285517454147,0.779516339302063,0.7324313521385193,inhibition
Src_pY416,STAT3_pY705,1.0,0.09169261902570724,0.7759406566619873,0.7108778357505798,inhibition
PRAS40_pT246,p90RSK_pT359_S363,1.0,0.08545935153961182,0.7745301723480225,0.7289648056030273,inhibition
GSK3-alpha-beta_pS9,p90RSK_pT359_S363,1.0,0.08537659794092178,0.7739774584770203,0.709301233291626,inhibition
p70S6K_pT389,p90RSK_pT359_S363,1.0,0.08537344634532928,0.7729477882385254,0.7055723667144775,inhibition
